ID1 ID2 UDdiam LDdiam e_LDdiam Band mu-lambda Method BandCode Notes BibCode Com CADARS SimbadName _RA _DE
HD139357 "" 1.04 1.073 0.012 K' "" 1 8 "The limb-darkening coefficient was obtained from 1995A&AS..114..247C after adopting the Teff and log g values required for each star observed. (Kurucz model fitted to spectra)" 2010ApJ...710.1365B "" 0 HD139357 233.81749 53.92214
HD150010 "" 0.995 1.024 0.028 K' "" 1 8 "The limb-darkening coefficient was obtained from 1995A&AS..114..247C after adopting the Teff and log g values required for each star observed. (Kurucz model fitted to spectra)" 2010ApJ...710.1365B "" 0 HD150010 247.86761 72.61234
HD152812 "" 1.393 1.44 0.003 K' "" 1 8 "The limb-darkening coefficient was obtained from 1995A&AS..114..247C after adopting the Teff and log g values required for each star observed. (Kurucz model fitted to spectra)" 2010ApJ...710.1365B "" 1 HD152812 253.32310 47.41672
HD157681 "" 1.6 1.664 0.009 K' "" 1 8 "The limb-darkening coefficient was obtained from 1995A&AS..114..247C after adopting the Teff and log g values required for each star observed. (Kurucz model fitted to spectra)" 2010ApJ...710.1365B "" 0 HD157681 260.43903 53.42043
HD160290 "" 1.467 1.515 0.01 K' "" 1 8 "The limb-darkening coefficient was obtained from 1995A&AS..114..247C after adopting the Teff and log g values required for each star observed. (Kurucz model fitted to spectra)" 2010ApJ...710.1365B "" 0 HD160290 264.15689 48.58563
HD167042 "" 0.898 0.922 0.017 K' "" 1 8 "The limb-darkening coefficient was obtained from 1995A&AS..114..247C after adopting the Teff and log g values required for each star observed. (Kurucz model fitted to spectra)" 2010ApJ...710.1365B "" 1 HD167042 272.63184 54.28655
HD170693 "" 1.981 2.041 0.041 K' "" 1 8 "The limb-darkening coefficient was obtained from 1995A&AS..114..247C after adopting the Teff and log g values required for each star observed. (Kurucz model fitted to spectra)" 2010ApJ...710.1365B "" 2 HD170693 276.49641 65.56347
HD175823 "" 0.958 0.988 0.022 K' "" 1 8 "The limb-darkening coefficient was obtained from 1995A&AS..114..247C after adopting the Teff and log g values required for each star observed. (Kurucz model fitted to spectra)" 2010ApJ...710.1365B "" 0 HD175823 283.44296 57.48656
HD176408 "" 1.092 1.125 0.022 K' "" 1 8 "The limb-darkening coefficient was obtained from 1995A&AS..114..247C after adopting the Teff and log g values required for each star observed. (Kurucz model fitted to spectra)" 2010ApJ...710.1365B "" 0 HD176408 284.18766 57.81482
HD186815 "" 0.713 0.731 0.02 K' "" 1 8 "The limb-darkening coefficient was obtained from 1995A&AS..114..247C after adopting the Teff and log g values required for each star observed. (Kurucz model fitted to spectra)" 2010ApJ...710.1365B "" 0 HD186815 295.91457 57.04271
HD192781 "" 1.787 1.859 0.002 K' "" 1 8 "The limb-darkening coefficient was obtained from 1995A&AS..114..247C after adopting the Teff and log g values required for each star observed. (Kurucz model fitted to spectra)" 2010ApJ...710.1365B "" 0 HD192781 303.36507 60.64057
HD195820 "" 0.84 0.863 0.04 K' "" 1 8 "The limb-darkening coefficient was obtained from 1995A&AS..114..247C after adopting the Teff and log g values required for each star observed. (Kurucz model fitted to spectra)" 2010ApJ...710.1365B "" 0 HD195820 307.83813 52.30952
HD200205 "" 1.963 2.032 0.043 K' "" 1 8 "The limb-darkening coefficient was obtained from 1995A&AS..114..247C after adopting the Teff and log g values required for each star observed. (Kurucz model fitted to spectra)" 2010ApJ...710.1365B "" 0 HD200205 314.85577 59.43860
HD214868 "" 2.721 2.731 0.02 K' "" 1 8 "The limb-darkening coefficient was obtained from 1995A&AS..114..247C after adopting the Teff and log g values required for each star observed. (Kurucz model fitted to spectra)" 2010ApJ...710.1365B "" 3 HD214868 340.12858 44.27631
HD203 "HIP 560" 0.492 0.492 0.032 K "" 1 8 "Only a few uncertain visibilities and baseline too short to make any difference btw LDD and UDD." 2011ApJ...743..158S "" 1 HD203 1.70869 -23.10754
HD29391 "HIP 21547" 0.518 0.518 0.009 K "" 1 7 "Only a few uncertain visibilities and baseline too short to make any difference btw LDD and UDD." 2011ApJ...743..158S "" 0 HD29391 69.40055 -2.47355
HD11977 "" 1.573 1.58 0.058 K "" 1 8 "linear LD coeff from 1995A&AS..114..247C with Teff and logg from daSilva et al 2006" 2012A&A...539A..58C "" 1 HD11977 28.73388 -67.64730
HD23319 "" 1.928 1.982 0.053 K "" 1 8 "linear LD coeff from 1995A&AS..114..247C with Teff and logg from daSilva et al 2006" 2012A&A...539A..58C "" 0 HD23319 55.70856 -37.31352
HD27256 "" 2.557 2.618 0.077 K "" 1 8 "linear LD coeff from 1995A&AS..114..247C with Teff and logg from daSilva et al 2006" 2012A&A...539A..58C "" 1 HD27256 63.60618 -62.47386
HD36848 "" 1.35 1.386 0.098 K "" 1 8 "linear LD coeff from 1995A&AS..114..247C with Teff and logg from daSilva et al 2006" 2012A&A...539A..58C "" 0 HD36848 83.21422 -38.51337
HD103095 "Gmb 1830" 0.664 0.679 0.015 K' "" 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C." 2012A&A...545A..17C "" 3 HD103095 178.24487 37.71868
HD122563 "" 0.924 0.94 0.011 K' "" 1 8 "Best LDD from 3D code based on MARCS" 2012A&A...545A..17C "" 0 HD122563 210.63269 9.68610
HD4614 "" 1.578 1.623 0.004 K 0.28 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 11 HD4614 12.27621 57.81519
HD5015 "" 0.846 0.865 0.01 K 0.27 1 8 "Is Mu Cas also in 2007AAS...211.5715B?K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 2 HD5015 13.26748 61.12397
HD6582 HD6582 0.947 0.972 0.009 K 0.32 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 4 HD6582 17.06831 54.92034
HD10780 "" 0.744 0.763 0.018 K 0.31 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 4 HD10780 26.93681 63.85250
HD16895 "" 1.078 1.103 0.008 K 0.27 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 5 HD16895 41.04995 49.22845
HD19373 "" 1.217 1.246 0.007 K 0.27 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 7 HD19373 47.26675 49.61328
HD20630 "" 0.914 0.936 0.024 K 0.29 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 10 HD20630 49.84040 3.37020
HD22484 "" 1.056 1.081 0.014 K 0.28 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 0 HD22484 54.21727 0.39959
HD30652 "" 1.488 1.526 0.004 K 0.26 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 8 HD30652 72.46005 6.96127
HD34411 "" 0.958 0.981 0.015 K 0.29 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 4 HD34411 79.78531 40.09905
HD39587 "" 1.027 1.051 0.009 K 0.28 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 10 HD39587 88.59576 20.27617
HD48737 "" 1.369 1.401 0.009 K 0.18 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 4 HD48737 101.32235 12.89559
HD56537 "" 0.824 0.835 0.013 K 0.25 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 6 HD56537 109.52325 16.54039
HD58946 "" 0.837 0.853 0.013 K 0.23 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 7 HD58946 112.27800 31.78455
HD81937 "" 1.113 1.133 0.009 K 0.26 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 3 HD81937 142.88212 63.06186
HD82328 "" 1.591 1.632 0.005 K 0.32 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 5 HD82328 143.21431 51.67730
HD82885 "" 0.8 0.821 0.012 K 0.29 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 6 HD82885 143.91459 35.81013
HD86728 "" 0.753 0.771 0.012 K 0.26 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 2 HD86728 150.25274 31.92367
HD90839 "" 0.778 0.794 0.014 K 0.18 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 4 HD90839 157.65658 55.98054
HD95418 "" 1.133 1.149 0.014 K 0.21 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 8 HD95418 165.46032 56.38243
HD97603 "" 1.304 1.328 0.008 K 0.31 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 6 HD97603 168.52709 20.52372
HD101501 "" 0.887 0.91 0.009 K 0.27 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 6 HD101501 175.26257 34.20163
HD102870 "" 1.396 1.431 0.006 K 0.32 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 7 HD102870 177.67383 1.76472
HD103095 "" 0.679 0.696 0.005 K 0.28 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 3 HD103095 178.24487 37.71868
HD109358 "" 1.209 1.238 0.03 K 0.28 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 9 HD109358 188.43560 41.35748
HD114710 "" 1.1 1.127 0.011 K 0.18 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 7 HD114710 197.96831 27.87818
HD118098 "" 0.84 0.852 0.009 K 0.26 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 6 HD118098 203.67331 -0.59584
HD126660 "" 1.086 1.109 0.007 K 0.25 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 10 HD126660 216.29915 51.85074
HD128167 "" 0.824 0.841 0.013 K 0.32 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 11 HD128167 218.67007 29.74513
HD131156 "" 1.163 1.196 0.014 K 0.21 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 8 HD131156 222.84742 19.10047
HD141795 "" 0.756 0.768 0.017 K 0.26 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 3 HD141795 237.70403 4.47773
HD142860 "" 1.191 1.217 0.005 K 0.29 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 10 HD142860 239.11326 15.66162
HD146233 "" 0.763 0.78 0.017 K 0.25 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 1 HD146233 243.90529 -8.36944
HD162003 "" 0.93 0.949 0.025 K 0.24 1 8 "HD162003 is binary.  K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 2 HD162003 265.48373 72.14886
HD164259 "" 0.761 0.775 0.027 K 0.25 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 4 HD164259 270.12088 -3.69027
HD173667 "" 0.979 1 0.006 K 0.17 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 8 HD173667 281.41552 20.54631
HD177724 "" 0.883 0.895 0.016 K 0.32 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 5 HD177724 286.35253 13.86348
HD182572 "" 0.823 0.845 0.025 K 0.32 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 5 HD182572 291.24250 11.94441
HD185144 "" 1.219 1.254 0.011 K 0.24 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 7 HD185144 293.08996 69.66118
HD185395 "" 0.845 0.861 0.015 K 0.2 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 7 HD185395 294.11056 50.22110
HD210418 "" 0.849 0.862 0.017 K 0.18 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 4 HD210418 332.54994 6.19786
HD213558 "" 0.625 0.634 0.021 K 0.26 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 3 HD213558 337.82292 50.28249
HD215648 "" 1.068 1.091 0.008 K 0.26 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 5 HD215648 341.67325 12.17288
HD222368 "" 1.059 1.082 0.009 K 0.26 1 8 "K-Band limb-darkening coefs from 2000A&A...363.1081C. Fast rotator." 2012ApJ...746..101B "" 6 HD222368 354.98767 5.62629
HD1326 "" 0.97 1.005 0.005 K 0.398 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 9 HD1326 4.59535 44.02295
HD4628 "GJ 33" 0.836 0.868 0.004 K 0.425 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 5 HD4628 12.09573 5.28061
HD16160 "GJ 105A" 0.989 1.03 0.007 K 0.443 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 6 HD16160 39.02043 6.88679
HD36395 "GJ 205" 0.904 0.943 0.003 K 0.453 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 5 HD36395 82.86415 -3.67723
HD79210 GJ338A 0.834 0.871 0.014 K 0.491 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 3 HD79210 138.59490 52.68661
HD79211 GJ338B 0.823 0.856 0.016 K 0.453 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 2 HD79211 138.60285 52.68636
HD88230 GJ380 "" 1.225 0.008 K 0.491 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 3 HD88230 152.84225 49.45424
HD95735 GJ411 1.38 1.432 0.013 K 0.391 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 3 HD95735 165.83414 35.96988
GJ412A "BD+44 2051" 0.739 0.764 0.016 K 0.398 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 5 GJ412A 166.36907 43.52678
HD119850 "GJ 526" 0.807 0.835 0.013 K 0.398 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 3 HD119850 206.43240 14.89152
HD149661 "GJ 631" 0.701 0.724 0.011 K 0.396 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 5 HD149661 249.08937 -2.32459
GJ687 "" 0.83 0.859 0.013 K 0.391 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 4 GJ687 264.10791 68.33914
GJ699 "" 0.917 0.952 0.005 K 0.408 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 1 GJ699 269.45208 4.69336
HD165341A "GJ 702A" 1.46 1.515 0.004 K 0.396 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 10 HD165341A 271.36404 2.49981
HD165341B "GJ 702B" 1.169 1.221 0.015 K 0.476 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 0 HD165341B 271.36443 2.49895
HD173739 "GJ 725A" 0.907 0.937 0.008 K 0.391 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 5 HD173739 280.69460 59.63039
HD173740 "GJ 725B" 0.822 0.851 0.015 K 0.408 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 5 HD173740 280.69539 59.62687
HD199305 "GJ 809" 0.698 0.722 0.008 K 0.398 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 3 HD199305 313.33245 62.15439
HD216899 "GJ 880" 0.716 0.744 0.004 K 0.453 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 3 HD216899 344.14502 16.55343
HD219134 "GJ 892" 1.063 1.106 0.007 K 0.443 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 5 HD219134 348.32073 57.16835
HIP19849 "GJ 166A" 1.444 1.504 0.006 K 0.41 1 8 "linear LD coefficients from PHOENIX models presented in 2000A&A...363.1081C. logg is 4.5 for lower MS stars  (2000asqu.book.....C)." 2012ApJ...757..112B "" 6 HIP19849 63.81800 -7.65287
HD49933 "" "" 0.445 0.012 H "" 1 7 "LD coefficient from 2000A&A...363.1081C" 2013............... "TB.private communication" 0 HD49933 102.70763 -0.54088
HD89449 "" "" 0.731 0.03 H "" 1 7 "LD coefficient from 2000A&A...363.1081C" 2013............... "TB.private communication" 3 HD89449 154.93403 19.47091
HD173701 "" "" 0.332 0.006 H "" 1 7 "LD coefficient from 2000A&A...363.1081C" 2013............... "TB.private communication" 1 HD173701 281.14633 43.83327
HD175726 "" "" 0.346 0.007 H "" 1 7 "LD coefficient from 2000A&A...363.1081C" 2013............... "TB.private communication" 0 HD175726 284.15488 4.26513
HD177153 "" "" 0.289 0.006 H "" 1 7 "LD coefficient from 2000A&A...363.1081C" 2013............... "TB.private communication" 0 HD177153 285.41533 41.49009
HD181420 "" "" 0.34 0.01 H "" 1 7 "LD coefficient from 2000A&A...363.1081C" 2013............... "TB.private communication" 0 HD181420 290.11280 -1.30976
HD187637 "" "" 0.231 0.006 H "" 1 7 "LD coefficient from 2000A&A...363.1081C" 2013............... "TB.private communication" 0 HD187637 297.32558 41.58246
HD190406 "" "" 0.584 0.01 H "" 1 7 "LD coefficient from 2000A&A...363.1081C" 2013............... "TB.private communication" 2 HD190406 301.02592 17.07019
HD210027 "" "" 1.206 0.053 H "" 1 7 "LD coefficient from 2000A&A...363.1081C" 2013............... "TB.private communication" 6 HD210027 331.75276 25.34510
HD218396 "" "" 0.342 0.008 H "" 1 7 "LD coefficient from 2000A&A...363.1081C" 2013............... "TB.private communication" 2 HD218396 346.86965 21.13425
HD166 "" 0.604 0.624 0.009 H 0.386 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 2 HD166 1.65327 29.02150
HD6210 "" 0.508 0.52 0.006 H 0.307 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 0 HD6210 16.08104 61.58018
HD10476 "" 0.963 1 0.004 H 0.41 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 6 HD10476 25.62401 20.26852
HD10697 "" 0.531 0.547 0.012 H 0.362 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 1 HD10697 26.23260 20.08315
HD11964 "" 0.589 0.607 0.015 H 0.362 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 1 HD11964 29.29003 -10.24243
HD16765 "" 0.486 0.497 0.007 H 0.307 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 0 HD16765 40.30832 -0.69566
HD21019 "" 0.588 0.606 0.015 H 0.382 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 0 HD21019 50.82375 -7.79410
HD38858 "" 0.556 0.572 0.009 H 0.349 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 0 HD38858 87.14558 -4.09464
HD69897 "" 0.689 0.706 0.013 H 0.307 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 2 HD69897 125.01609 27.21771
HD130948 "" 0.553 0.569 0.011 H 0.347 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 1 HD130948 222.56588 23.91184
HD136202 "" 0.766 0.785 0.023 H 0.307 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 0 HD136202 229.82832 1.76541
HD140538 "" 0.581 0.597 0.015 H 0.347 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 2 HD140538 236.00758 2.51517
HD157214 "" 0.704 0.725 0.012 H 0.347 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 1 HD157214 260.16486 32.46774
HD158633 "" 0.555 0.573 0.01 H 0.386 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 1 HD158633 261.25041 67.30671
HD168151 "" 0.696 0.713 0.008 H 0.307 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 3 HD168151 273.47430 64.39728
HD186408 "" 0.539 0.554 0.011 H 0.347 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 2 HD186408 295.45397 50.52506
HD186427 "" 0.499 0.513 0.011 H 0.347 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 2 HD186427 295.46655 50.51752
HD195564 "" 0.691 0.712 0.03 K' 0.362 1 8 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 0 HD195564 308.09873 -9.85339
HD206860 "" 0.515 0.53 0.014 H 0.347 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 1 HD206860 326.13054 14.77194
HD217014 "" 0.666 0.685 0.011 H 0.342 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 5 HD217014 344.36658 20.76883
HD217107 "" 0.55 0.567 0.008 H 0.382 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 0 HD217107 344.56475 -2.39539
HD219623 "" 0.529 0.542 0.016 H 0.312 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 0 HD219623 349.17626 53.21348
HD222603 "" 0.57 0.581 0.012 H 0.242 1 7 "linear limb-darkening coefficients from 2000A&A...363.1081C, grid increments of 250k" 2013ApJ...771...40B "" 4 HD222603 355.51169 1.78004
HD225217 "SU And" 2.577 2.577 0.021 "H or K ?" 1 1 8 "Carbon Stars - some are elliptic - uD/LD\approx 1 according to COMARCS models (2009A&A...503..913A)" 2013ApJ...775...45V "" 0 HD225217 1.15170 43.55131
HD2342 "AQ And" 3.867 3.867 0.015 "H or K ?" 1 1 8 "Carbon Stars - some are elliptic - uD/LD\approx 1 according to COMARCS models (2009A&A...503..913A)" 2013ApJ...775...45V "" 1 HD2342 6.88201 35.58736
HD19881 "V410 Per" 2.357 2.357 0.011 "H or K ?" 1 1 8 "Carbon Stars - some are elliptic - uD/LD\approx 1 according to COMARCS models (2009A&A...503..913A)" 2013ApJ...775...45V "" 0 HD19881 48.41102 47.82608
IRC+40067 "AC Per" 3.281 3.281 0.018 "H or K ?" 1 1 8 "Carbon Stars - some are elliptic - uD/LD\approx 1 according to COMARCS models (2009A&A...503..913A)" 2013ApJ...775...45V "" 0 IRC+40067 56.26421 44.78105
HD30443 "" 1.43 1.43 0.094 "H or K ?" 1 1 8 "Carbon Stars - some are elliptic - uD/LD\approx 1 according to COMARCS models (2009A&A...503..913A)" 2013ApJ...775...45V "" 0 HD30443 72.31675 35.00180
HD280188 "V346 Aur" 3.399 3.399 0.028 "H or K ?" 1 1 8 "Carbon Stars - some are elliptic - uD/LD\approx 1 according to COMARCS models (2009A&A...503..913A)" 2013ApJ...775...45V "" 0 HD280188 73.14531 38.50553
HD33016 "TX Aur" 2.945 2.945 0.036 "H or K ?" 1 1 8 "Carbon Stars - some are elliptic - uD/LD\approx 1 according to COMARCS models (2009A&A...503..913A)" 2013ApJ...775...45V "" 0 HD33016 77.27278 39.00235
HD34467 "V348 Aur" 2.237 2.237 0.049 "H or K ?" 1 1 8 "Carbon Stars - some are elliptic - uD/LD\approx 1 according to COMARCS models (2009A&A...503..913A)" 2013ApJ...775...45V "" 0 HD34467 79.79253 35.79234
HIP25004 "V1368 Ori" 3.283 3.283 0.042 "H or K ?" 1 1 8 "Carbon Stars - some are elliptic - uD/LD\approx 1 according to COMARCS models (2009A&A...503..913A)" 2013ApJ...775...45V "" 0 HIP25004 80.30572 7.35538
HD38218 "TU Tau" 3.894 3.894 0.011 "H or K ?" 1 1 8 "Carbon Stars - some are elliptic - uD/LD\approx 1 according to COMARCS models (2009A&A...503..913A)" 2013ApJ...775...45V "" 0 HD38218 86.30719 24.42012
HD247224 "CP Tau" 1.602 1.602 0.069 "H or K ?" 1 1 8 "Carbon Stars - some are elliptic - uD/LD\approx 1 according to COMARCS models (2009A&A...503..913A)" 2013ApJ...775...45V "" 0 HD247224 86.36053 15.51258
